,characterName,characterLink,actorName,actorLink,houseName,royal,parents,siblings,killedBy,characterImageThumb,characterImageFull,nickname,killed,servedBy,parentOf,marriedEngaged,serves,kingsguard,guardedBy,actors,guardianOf,allies,abductedBy,abducted,sibling,gender,type,hasChildren,hasSiblings,hasAllies,hasKilled
11,Baby Sam,/character/ch0547881/,,,,,"['Samwell Tarly', 'Gilly']",,,,,,,,,,,,,"[{'actorName': 'William Wilson', 'actorLink': '/name/nm8251159/', 'seasonsActive': [7]}, {'actorName': 'James Wilson', 'actorLink': '/name/nm8251160/', 'seasonsActive': [7]}]",,,,,,male,,,,,
12,Balon Greyjoy,/character/ch0292152/,Patrick Malahide,/name/nm0538869/,Greyjoy,,,"['Euron Greyjoy', 'Aeron Greyjoy']",['Euron Greyjoy'],https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNjkwODczN15BMl5BanBnXkFtZTcwODMwNTgzNw@@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNjkwODczN15BMl5BanBnXkFtZTcwODMwNTgzNw@@._V1_SY1000_CR0,0,637,1000_AL_.jpg",,,,"['Yara Greyjoy', 'Theon Greyjoy']",,,,,,,,,,,male,,2.0,2.0,,
13,Baratheon Guard,/character/ch0350989/,Phil Barnhill,/name/nm4207240/,Baratheon,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Barristan Selmy,/character/ch0241346/,Ian McElhinney,/name/nm0568400/,,,,,['Sons of the Harpy'],https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyMTE0NjUxNV5BMl5BanBnXkFtZTcwOTA1ODg5NA@@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyMTE0NjUxNV5BMl5BanBnXkFtZTcwOTA1ODg5NA@@._V1_SX1500_CR0,0,1500,999_AL_.jpg",,,,,,['Daenerys Targaryen'],,,,,,,,,male,,,,,
15,Benjen Stark,/character/ch0153996/,Joseph Mawle,/name/nm1152798/,Stark,,['Rickard Stark'],"['Brandon Stark', 'Lyanna Stark', 'Eddard Stark']",['Wights'],https://images-na.ssl-images-amazon.com/images/M/MV5BMjFiY2M5MjgtZmRiMS00ZTAyLTk2Y2UtMjdjZTRkZmVlYTMyXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMjFiY2M5MjgtZmRiMS00ZTAyLTk2Y2UtMjdjZTRkZmVlYTMyXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,,,,,,,male,,,,,
16,Beric Dondarrion,/character/ch0305320/,,,,,,,"['Sandor Clegane', 'Wights']",https://images-na.ssl-images-amazon.com/images/M/MV5BMjQwMTEwNTg2MF5BMl5BanBnXkFtZTgwNTAxODYxOTE@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjQwMTEwNTg2MF5BMl5BanBnXkFtZTgwNTAxODYxOTE@._V1_SY1000_CR0,0,665,1000_AL_.jpg",,,,,,,,,"[{'actorName': 'Richard Dormer', 'actorLink': '/name/nm0233807/', 'seasonsActive': [3, 6, 7, 8]}, {'actorName': 'David Michael Scott', 'actorLink': '/name/nm2364108/', 'seasonsActive': [1]}]",,,,,,male,,,,,
17,Biter,/character/ch0305028/,Gerard Jordan,/name/nm0429956/,,,,,['Sandor Clegane'],https://images-na.ssl-images-amazon.com/images/M/MV5BNWVjOWFjNGEtYzc0MC00YjkzLTkxM2QtN2Y1MmU4NzIzOTEyXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNWVjOWFjNGEtYzc0MC00YjkzLTkxM2QtN2Y1MmU4NzIzOTEyXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,,,,,,,male,,,,,
18,Black Walder Rivers,/character/ch0014591/,Tim Plester,/name/nm1043031/,Frey,,['Walder Frey'],,['Arya Stark'],,,,['Catelyn Stark'],,,,,,,,,,,,,male,,,,,1.0
19,Bowen Marsh,/character/ch0305036/,Michael Condron,/name/nm1638006/,,,,,['Jon Snow'],https://images-na.ssl-images-amazon.com/images/M/MV5BNmRkMDYxYjQtYTBjZi00NDZlLThmNGMtYzlhNGI1ZDE5NTJmXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNmRkMDYxYjQtYTBjZi00NDZlLThmNGMtYzlhNGI1ZDE5NTJmXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,['Jon Snow'],,,,,,,,,,,,,male,,,,,1.0
20,Brandon Stark,,,,Stark,,['Rickard Stark'],"['Lyanna Stark', 'Benjen Stark', 'Eddard Stark']",['Aerys II Targaryen'],,,,,,,,,,,,,,,,,,,,,,
21,Bran Stark,/character/ch0234897/,Isaac Hempstead Wright,/name/nm3652842/,Stark,True,"['Eddard Stark', 'Catelyn Stark']","['Robb Stark', 'Sansa Stark', 'Arya Stark', 'Rickon Stark']",,https://images-na.ssl-images-amazon.com/images/M/MV5BMTA1NTg0NTI3MTBeQTJeQWpwZ15BbWU3MDEyNjg4OTQ@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTA1NTg0NTI3MTBeQTJeQWpwZ15BbWU3MDEyNjg4OTQ@._V1_SX1500_CR0,0,1500,999_AL_.jpg",,,,,,,,['Summer'],,,,,,,male,,,,,
22,Brienne of Tarth,/character/ch0254503/,Gwendoline Christie,/name/nm3729225/,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzNDY4NzgzOV5BMl5BanBnXkFtZTcwNDM5ODg4OQ@@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzNDY4NzgzOV5BMl5BanBnXkFtZTcwNDM5ODg4OQ@@._V1_.jpg,,"['Soldier Tom', 'Stannis Baratheon', 'Bolton Officer']",['Podrick Payne'],,,"['Renly Baratheon', 'Catelyn Stark', 'Sansa Stark', 'Bran Stark']",True,,,,,,,,female,,,,,3.0
23,Bronn,/character/ch0241345/,Jerome Flynn,/name/nm0283492/,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0MzI5MjY1OV5BMl5BanBnXkFtZTcwODM1ODg4OQ@@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0MzI5MjY1OV5BMl5BanBnXkFtZTcwODM1ODg4OQ@@._V1_.jpg,,"['Vardis Egen', 'Matthos Seaworth', 'Lead Dornish Guard']",,,['Lollys Stokeworth'],,,,,,,,,,male,,,,,3.0
24,Brother Ray,/character/ch0541878/,Ian McShane,/name/nm0574534/,,,,,['Lem Lemoncloak'],https://images-na.ssl-images-amazon.com/images/M/MV5BMTAwNjU5MTY3NzleQTJeQWpwZ15BbWU4MDIwODkwMTkx._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTAwNjU5MTY3NzleQTJeQWpwZ15BbWU4MDIwODkwMTkx._V1_SY1000_CR0,0,1502,1000_AL_.jpg",,,,,,,,,,,,,,,male,,,,,
25,Brynden Tully,/character/ch0381563/,Clive Russell,/name/nm0751085/,Tully,,,['Hoster Tully'],,https://images-na.ssl-images-amazon.com/images/M/MV5BOTg5ZDIwOWUtMjQ1OS00YjgxLThmMDgtOWUwZjQ4MzE3ZDhlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BOTg5ZDIwOWUtMjQ1OS00YjgxLThmMDgtOWUwZjQ4MzE3ZDhlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,Blackfish,,,,,,,,,,,,,,male,,,,,
26,Catelyn Stark,/character/ch0145135/,Michelle Fairley,/name/nm0265610/,"['Stark', 'Tully']",,['Hoster Tully'],"['Lysa Arryn', 'Edmure Tully']",['Black Walder Rivers'],https://images-na.ssl-images-amazon.com/images/M/MV5BMTY2ODc4MTkxMV5BMl5BanBnXkFtZTcwNjM3MTg4OQ@@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY2ODc4MTkxMV5BMl5BanBnXkFtZTcwNjM3MTg4OQ@@._V1_SY1000_CR0,0,915,1000_AL_.jpg",,['Joyeuse Erenford'],,"['Robb Stark', 'Sansa Stark', 'Arya Stark', 'Bran Stark', 'Rickon Stark']","['Eddard Stark', 'Brandon Stark']",,,,,,,,,,female,,5.0,5.0,,1.0
27,Catspaw Assassin,/character/ch0305046/,Lalor Roddy,/name/nm0734498/,,,,,['Summer'],,,,,,,,,,,,,,,,,male,,,,,
28,Cersei Lannister,/character/ch0159526/,Lena Headey,/name/nm0372176/,"['Lannister', 'Baratheon']",True,['Tywin Lannister'],"['Jaime Lannister', 'Tyrion Lannister']",['Roof collapse'],"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgzNTAxNjExMl5BMl5BanBnXkFtZTcwMDEwNzI4OQ@@._V1._CR954,56,605,670._SX100_SY140_.jpg","https://images-na.ssl-images-amazon.com/images/M/MV5BMTgzNTAxNjExMl5BMl5BanBnXkFtZTcwMDEwNzI4OQ@@._V1._CR954,56,605,670_.jpg",,"['Lancel Lannister', 'High Sparrow', 'Loras Tyrell', 'Mace Tyrell', 'Margaery Tyrell', 'Kevan Lannister', 'Tyene Sand']",,"['Joffrey Baratheon', 'Myrcella Baratheon', 'Tommen Baratheon']",['Robert Baratheon'],,,,,,,,,,female,,3.0,3.0,,7.0
29,Craster,/character/ch0300218/,Robert Pugh,/name/nm0700059/,,,,,['Karl Tanner'],https://images-na.ssl-images-amazon.com/images/M/MV5BMzZiNjZiMGItNTQ2Yi00MGU3LWFjMTktNzlmNDFlYzA3MjY3XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMzZiNjZiMGItNTQ2Yi00MGU3LWFjMTktNzlmNDFlYzA3MjY3XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,,,,,,,male,,,,,
30,Daario Naharis,/character/ch0335040/,,,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BY2ExMDJmNzMtMDVmZi00MDNlLWI1NzYtOTkxOTdlOWU4YzE4XkEyXkFqcGdeQXVyNTcxMzMwNTA@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BY2ExMDJmNzMtMDVmZi00MDNlLWI1NzYtOTkxOTdlOWU4YzE4XkEyXkFqcGdeQXVyNTcxMzMwNTA@._V1_SY1000_CR0,0,665,1000_AL_.jpg",,"['Mero', 'Prendahl na Ghezn', 'Oznak zo Pahl', 'Mossador', 'Iggo', 'Akho']",,,,['Daenerys Targaryen'],,,"[{'actorName': 'Ed Skrein', 'actorLink': '/name/nm4534098/', 'seasonsActive': [3]}, {'actorName': 'Michiel Huisman', 'actorLink': '/name/nm0401264/', 'seasonsActive': [4, 5, 6]}]",,,,,,male,,,,,6.0
31,Daenerys Targaryen,/character/ch0158597/,Emilia Clarke,/name/nm3592338/,Targaryen,True,"['Aerys II Targaryen', 'Rhaella Targaryen']","['Rhaegar Targaryen', 'Viserys Targaryen']",['Jon Snow'],https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4MzIxMTQwMF5BMl5BanBnXkFtZTcwMzY2NDg1Nw@@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4MzIxMTQwMF5BMl5BanBnXkFtZTcwMzY2NDg1Nw@@._V1_SY1000_CR0,0,810,1000_AL_.jpghttps://images-na.ssl-images-amazon.com/images/M/MV5BMTgwNzIxMTU1OV5BMl5BanBnXkFtZTcwNzI2ODg5NA@@._V1._SX100_SY140_.jpg",,"['Khal Drogo', 'Mirri Maz Duur', 'Doreah', 'Xaro Xhoan Daxos', 'Khal Rhalko', 'Khal Brozho', 'Khal Qorro', 'Khal Forzho', 'Khal Moro', 'Dothraki Bloodrider #1', 'Dothraki Bloodrider #2', 'Randyll Tarly', 'Dickon Tarly', 'Eleanor', ""Eleanor's Daughter"", 'Lord Varys']","['Barristan Selmy', 'Daario Naharis', 'Grey Worm', 'Jorah Mormont', 'Missandei', 'Tyrion Lannister']",['Rhaego'],['Khal Drogo'],,,"['Drogon', 'Rhaegal', 'Viserion']",,,,,,,female,,1.0,1.0,,16.0
32,Davos Seaworth,/character/ch0255396/,Liam Cunningham,/name/nm0192377/,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BNTMwODc0NzI4Ml5BMl5BanBnXkFtZTcwNzY3NDk4OQ@@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNTMwODc0NzI4Ml5BMl5BanBnXkFtZTcwNzY3NDk4OQ@@._V1_.jpg,,,,['Matthos Seaworth'],,"['Stannis Baratheon', 'Jon Snow']",,,,,,,,,male,,1.0,1.0,,
33,Dickon Tarly,/character/ch0541363/,,,,,"['Randyll Tarly', 'Melessa Tarly']","['Samwell Tarly', 'Talla Tarly']",['Daenerys Targaryen'],https://images-na.ssl-images-amazon.com/images/M/MV5BNzk1YjNlZGQtNTU0MC00OGZmLThhYTQtZDM1ZjI2OGNlZGQxXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNzk1YjNlZGQtNTU0MC00OGZmLThhYTQtZDM1ZjI2OGNlZGQxXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,"[{'actorName': 'Freddie Stroma', 'actorLink': '/name/nm2238815/', 'seasonsActive': [6]}, {'actorName': 'Tom Hopper', 'actorLink': '/name/nm2584392/', 'seasonsActive': [7]}]",,,,,,male,,,,,
34,Dongo the Giant,/character/ch0510932/,Ian Whyte,/name/nm1613839/,,,,,"[""Night's Watchman""]",https://images-na.ssl-images-amazon.com/images/M/MV5BNTRjNGYxNWItYmRhNS00MDY3LWFmZTItMzYzNTEwMjg3YTA1XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNTRjNGYxNWItYmRhNS00MDY3LWFmZTItMzYzNTEwMjg3YTA1XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg,,,,,,,,,,,,,,,male,,,,,
35,Dontos Hollard,/character/ch0305031/,Tony Way,/name/nm0915453/,,,,,['Petyr Baelish'],https://images-na.ssl-images-amazon.com/images/M/MV5BNzUzYzg5NGUtOWE5Zi00Y2MwLTg2YzQtMDZlOWE1NDZjZmFkXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNzUzYzg5NGUtOWE5Zi00Y2MwLTg2YzQtMDZlOWE1NDZjZmFkXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,,,,,,,male,,,,,
36,Doran Martell,/character/ch0468006/,Alexander Siddig,/name/nm0796502/,Martell,,,"['Elia Martell', 'Oberyn Martell']",['Ellaria Sand'],https://images-na.ssl-images-amazon.com/images/M/MV5BZWU5NzJkNWMtYTM4MS00YmE2LWExYmItNDNiOTE3YzI5YzAxXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BZWU5NzJkNWMtYTM4MS00YmE2LWExYmItNDNiOTE3YzI5YzAxXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SY1000_CR0,0,913,1000_AL_.jpg",,,,['Trystane Martell'],,,,,,,,,,,male,,1.0,1.0,,
37,Doreah,/character/ch0248504/,Roxanne McKee,/name/nm1861467/,,,,,['Daenerys Targaryen'],https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzNWJmNzYtZjFhYy00NmI5LWFkOWUtOWQ0ZjUzZDYwYjM1XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzNWJmNzYtZjFhYy00NmI5LWFkOWUtOWQ0ZjUzZDYwYjM1XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,['Irri'],,,,,,,,,,,,,female,,,,,1.0
38,Drennan,/character/ch0305030/,David Coakley,/name/nm2231505/,,,,,['Osha'],,,,,,,,,,,,,,,,,male,,,,,
39,Drogon,,,,Targaryen,,,"['Rhaegal', 'Viserion']",,,,,"['Pyat Pree', 'Kraznys mo Nakloz', 'Zalla']",,,,,,,,['Daenerys Targaryen'],,,,,male,Dragon,,,,3.0
40,Eddard Stark,/character/ch0154681/,Sean Bean,/name/nm0000293/,Stark,,['Rickard Stark'],"['Brandon Stark', 'Benjen Stark', 'Lyanna Stark']",['Ilyn Payne'],https://images-na.ssl-images-amazon.com/images/M/MV5BODcwMjg0MDQ5MF5BMl5BanBnXkFtZTcwMTk2NDk4OQ@@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BODcwMjg0MDQ5MF5BMl5BanBnXkFtZTcwMTk2NDk4OQ@@._V1_SY1000_CR0,0,827,1000_AL_.jpg",Ned,"['Arthur Dayne', 'Will', 'Lady', 'Gerold Hightower']",,"['Robb Stark', 'Sansa Stark', 'Arya Stark', 'Bran Stark', 'Rickon Stark']",['Catelyn Stark'],,,['Jon Arryn'],,['Jon Snow'],"['Howland Reed', 'Robert Baratheon']",,,,male,,5.0,5.0,2.0,4.0
41,Eddison Tollett,/character/ch0305008/,Ben Crompton,/name/nm0174005/,,,,,['Wight'],https://images-na.ssl-images-amazon.com/images/M/MV5BMTY1MjQ4ODAwNV5BMl5BanBnXkFtZTcwMTc5NDk4OQ@@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY1MjQ4ODAwNV5BMl5BanBnXkFtZTcwMTc5NDk4OQ@@._V1_.jpg,,,,,,,,,,,,,,,male,,,,,
42,Edmure Tully,/character/ch0316931/,Tobias Menzies,/name/nm0580014/,Tully,,,"['Catelyn Stark', 'Lysa Arryn']",,https://images-na.ssl-images-amazon.com/images/M/MV5BYjEzNThlMmQtMDgzYi00MTQ5LTllMzQtNDZjY2JiMTVhNmNkXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BYjEzNThlMmQtMDgzYi00MTQ5LTllMzQtNDZjY2JiMTVhNmNkXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,['Roslin Frey'],,,,,,,,,,male,,,,,
43,Ellaria Sand,/character/ch0309687/,Indira Varma,/name/nm0890055/,Martell,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BNWQ0ZDE5NDUtNDVmZi00ZTI5LTkyOTgtNDhiNjMwZjY3ZjgwXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNWQ0ZDE5NDUtNDVmZi00ZTI5LTkyOTgtNDhiNjMwZjY3ZjgwXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,"['Myrcella Baratheon', 'Doran Martell']",,['Tyene Sand'],['Oberyn Martell'],,,,,,,,,,female,,1.0,1.0,,2.0
44,Elia Martell,,,,Martell,True,,"['Doran Martell', 'Oberyn Martell']",['Gregor Clegane'],,,,,,"['Rhaenys Targaryen', 'Aegon Targaryen']",['Rhaegar Targaryen'],,,,,,,,,,,,2.0,2.0,,
45,Euron Greyjoy,/character/ch0518715/,Pilou Asbæk,/name/nm1561982/,Greyjoy,,,"['Balon Greyjoy', 'Aeron Greyjoy']",['Jaime Lannister'],https://images-na.ssl-images-amazon.com/images/M/MV5BNzg1MTJhMjMtMmY4Yy00NTU2LTliZWUtNjM4YzAxY2M3ZDBkXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNzg1MTJhMjMtMmY4Yy00NTU2LTliZWUtNjM4YzAxY2M3ZDBkXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,"['Balon Greyjoy', 'Obara Sand', 'Nymeria Sand', 'Rhaegal']",,,,,,,,,,,,,male,,,,,4.0
46,Gared,/character/ch0171395/,Dermot Keaney,/name/nm0443825/,,,,,['White Walker'],https://images-na.ssl-images-amazon.com/images/M/MV5BNGYxZjljZTctZjIxYy00YmUwLTk3MDgtZWIyZjhkNDgwYTZiXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNGYxZjljZTctZjIxYy00YmUwLTk3MDgtZWIyZjhkNDgwYTZiXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,,,,,,,male,,,,,
